area;conversion_tech;year_inv;power_capacity_investment_max;power_capacity_investment_min
AL;ccgt;2030;300.0;300.0
AL;coal_pp;2030;0.0;0.0
AL;dsr_1;2030;0.0;0.0
AL;dsr_10;2030;0.0;0.0
AL;dsr_2;2030;0.0;0.0
AL;dsr_3;2030;0.0;0.0
AL;dsr_4;2030;0.0;0.0
AL;dsr_5;2030;0.0;0.0
AL;dsr_6;2030;0.0;0.0
AL;dsr_7;2030;0.0;0.0
AL;dsr_8;2030;0.0;0.0
AL;dsr_9;2030;0.0;0.0
AL;electrolysis_2030;2030;0.0;0.0
AL;hydro_pondage;2030;0.0;0.0
AL;hydro_pondage_h2o_inflow;2030;0.0;0.0
AL;hydro_reservoir;2030;2031.7;2031.7
AL;hydro_reservoir_h2o_inflow;2030;2031.7;2031.7
AL;hydro_river;2030;534.8;534.8
AL;lignite_pp;2030;0.0;0.0
AL;nuclear_lte;2030;0.0;0.0
AL;nuclear_new;2030;0.0;0.0
AL;ocgt;2030;;0.0
AL;oil_pp;2030;0.0;0.0
AL;other_res;2030;0.0;0.0
AL;solar_pv;2030;1000.0;1000.0
AL;wind_offshore;2030;0.0;0.0
AL;wind_onshore;2030;0.0;0.0
AT;ccgt;2030;2698.1;2698.1
AT;coal_pp;2030;0.0;0.0
AT;dsr_1;2030;710.0;710.0
AT;dsr_10;2030;0.0;0.0
AT;dsr_2;2030;0.0;0.0
AT;dsr_3;2030;0.0;0.0
AT;dsr_4;2030;0.0;0.0
AT;dsr_5;2030;0.0;0.0
AT;dsr_6;2030;0.0;0.0
AT;dsr_7;2030;0.0;0.0
AT;dsr_8;2030;0.0;0.0
AT;dsr_9;2030;0.0;0.0
AT;electrolysis_2030;2030;1000.0;0.0
AT;hydro_pondage;2030;1150.0;1150.0
AT;hydro_pondage_h2o_inflow;2030;1150.0;1150.0
AT;hydro_reservoir;2030;2559.0;2559.0
AT;hydro_reservoir_h2o_inflow;2030;2559.0;2559.0
AT;hydro_river;2030;5217.8;5217.8
AT;lignite_pp;2030;0.0;0.0
AT;nuclear_lte;2030;0.0;0.0
AT;nuclear_new;2030;0.0;0.0
AT;ocgt;2030;;568.3
AT;oil_pp;2030;122.0;122.0
AT;other_res;2030;767.7;767.7
AT;solar_pv;2030;20000.0;20000.0
AT;wind_offshore;2030;0.0;0.0
AT;wind_onshore;2030;8000.0;8000.0
BA;ccgt;2030;0.0;0.0
BA;coal_pp;2030;0.0;0.0
BA;dsr_1;2030;0.0;0.0
BA;dsr_10;2030;0.0;0.0
BA;dsr_2;2030;0.0;0.0
BA;dsr_3;2030;0.0;0.0
BA;dsr_4;2030;0.0;0.0
BA;dsr_5;2030;0.0;0.0
BA;dsr_6;2030;0.0;0.0
BA;dsr_7;2030;0.0;0.0
BA;dsr_8;2030;0.0;0.0
BA;dsr_9;2030;0.0;0.0
BA;electrolysis_2030;2030;0.0;0.0
BA;hydro_pondage;2030;35.2;35.2
BA;hydro_pondage_h2o_inflow;2030;35.2;35.2
BA;hydro_reservoir;2030;159.9;159.9
BA;hydro_reservoir_h2o_inflow;2030;159.9;159.9
BA;hydro_river;2030;32.1;32.1
BA;lignite_pp;2030;1518.0;1518.0
BA;nuclear_lte;2030;0.0;0.0
BA;nuclear_new;2030;0.0;0.0
BA;ocgt;2030;;0.0
BA;oil_pp;2030;0.0;0.0
BA;other_res;2030;0.0;0.0
BA;solar_pv;2030;1000.0;1000.0
BA;wind_offshore;2030;0.0;0.0
BA;wind_onshore;2030;1000.0;1000.0
BE;ccgt;2030;6192.4;6192.4
BE;coal_pp;2030;354.4;354.4
BE;dsr_1;2030;620.4;620.4
BE;dsr_10;2030;0.0;0.0
BE;dsr_2;2030;324.0;324.0
BE;dsr_3;2030;193.0;193.0
BE;dsr_4;2030;610.0;610.0
BE;dsr_5;2030;309.0;309.0
BE;dsr_6;2030;634.0;634.0
BE;dsr_7;2030;454.0;454.0
BE;dsr_8;2030;0.0;0.0
BE;dsr_9;2030;0.0;0.0
BE;electrolysis_2030;2030;118.0;0.0
BE;hydro_pondage;2030;0.0;0.0
BE;hydro_pondage_h2o_inflow;2030;0.0;0.0
BE;hydro_reservoir;2030;0.0;0.0
BE;hydro_reservoir_h2o_inflow;2030;0.0;0.0
BE;hydro_river;2030;148.2;148.2
BE;lignite_pp;2030;0.0;0.0
BE;nuclear_lte;2030;2056.0;2056.0
BE;nuclear_new;2030;0.0;0.0
BE;ocgt;2030;;2621.0
BE;oil_pp;2030;140.0;140.0
BE;other_res;2030;596.6;596.6
BE;solar_pv;2030;15000.0;15000.0
BE;wind_offshore;2030;2000.0;2000.0
BE;wind_onshore;2030;5000.0;5000.0
BG;ccgt;2030;441.0;441.0
BG;coal_pp;2030;168.0;168.0
BG;dsr_1;2030;0.0;0.0
BG;dsr_10;2030;0.0;0.0
BG;dsr_2;2030;0.0;0.0
BG;dsr_3;2030;0.0;0.0
BG;dsr_4;2030;0.0;0.0
BG;dsr_5;2030;0.0;0.0
BG;dsr_6;2030;0.0;0.0
BG;dsr_7;2030;0.0;0.0
BG;dsr_8;2030;0.0;0.0
BG;dsr_9;2030;0.0;0.0
BG;electrolysis_2030;2030;52.0;0.0
BG;hydro_pondage;2030;0.0;0.0
BG;hydro_pondage_h2o_inflow;2030;0.0;0.0
BG;hydro_reservoir;2030;1281.3;1281.3
BG;hydro_reservoir_h2o_inflow;2030;1281.3;1281.3
BG;hydro_river;2030;535.5;535.5
BG;lignite_pp;2030;1575.0;1575.0
BG;nuclear_lte;2030;2000.0;2000.0
BG;nuclear_new;2030;0.0;0.0
BG;ocgt;2030;;1435.0
BG;oil_pp;2030;0.0;0.0
BG;other_res;2030;123.0;123.0
BG;solar_pv;2030;6000.0;6000.0
BG;wind_offshore;2030;0.0;0.0
BG;wind_onshore;2030;1000.0;1000.0
CH;ccgt;2030;122.4;122.4
CH;coal_pp;2030;0.0;0.0
CH;dsr_1;2030;0.0;0.0
CH;dsr_10;2030;0.0;0.0
CH;dsr_2;2030;0.0;0.0
CH;dsr_3;2030;0.0;0.0
CH;dsr_4;2030;0.0;0.0
CH;dsr_5;2030;0.0;0.0
CH;dsr_6;2030;0.0;0.0
CH;dsr_7;2030;0.0;0.0
CH;dsr_8;2030;0.0;0.0
CH;dsr_9;2030;0.0;0.0
CH;electrolysis_2030;2030;262.6;0.0
CH;hydro_pondage;2030;0.0;0.0
CH;hydro_pondage_h2o_inflow;2030;0.0;0.0
CH;hydro_reservoir;2030;8530.0;8530.0
CH;hydro_reservoir_h2o_inflow;2030;8530.0;8530.0
CH;hydro_river;2030;4215.0;4215.0
CH;lignite_pp;2030;0.0;0.0
CH;nuclear_lte;2030;2960.0;2960.0
CH;nuclear_new;2030;0.0;0.0
CH;ocgt;2030;;566.6
CH;oil_pp;2030;0.0;0.0
CH;other_res;2030;303.5;303.5
CH;solar_pv;2030;17000.0;17000.0
CH;wind_offshore;2030;0.0;0.0
CH;wind_onshore;2030;0.0;0.0
CY;ccgt;2030;696.6;696.6
CY;coal_pp;2030;0.0;0.0
CY;dsr_1;2030;0.0;0.0
CY;dsr_10;2030;0.0;0.0
CY;dsr_2;2030;0.0;0.0
CY;dsr_3;2030;0.0;0.0
CY;dsr_4;2030;0.0;0.0
CY;dsr_5;2030;0.0;0.0
CY;dsr_6;2030;0.0;0.0
CY;dsr_7;2030;0.0;0.0
CY;dsr_8;2030;0.0;0.0
CY;dsr_9;2030;0.0;0.0
CY;electrolysis_2030;2030;38.1;0.0
CY;hydro_pondage;2030;0.0;0.0
CY;hydro_pondage_h2o_inflow;2030;0.0;0.0
CY;hydro_reservoir;2030;0.0;0.0
CY;hydro_reservoir_h2o_inflow;2030;0.0;0.0
CY;hydro_river;2030;0.0;0.0
CY;lignite_pp;2030;0.0;0.0
CY;nuclear_lte;2030;0.0;0.0
CY;nuclear_new;2030;0.0;0.0
CY;ocgt;2030;;436.0
CY;oil_pp;2030;247.8;247.8
CY;other_res;2030;27.0;27.0
CY;solar_pv;2030;1000.0;1000.0
CY;wind_offshore;2030;0.0;0.0
CY;wind_onshore;2030;0.0;0.0
CZ;ccgt;2030;2914.8;2914.8
CZ;coal_pp;2030;0.0;0.0
CZ;dsr_1;2030;150.0;150.0
CZ;dsr_10;2030;0.0;0.0
CZ;dsr_2;2030;0.0;0.0
CZ;dsr_3;2030;0.0;0.0
CZ;dsr_4;2030;0.0;0.0
CZ;dsr_5;2030;0.0;0.0
CZ;dsr_6;2030;0.0;0.0
CZ;dsr_7;2030;0.0;0.0
CZ;dsr_8;2030;0.0;0.0
CZ;dsr_9;2030;0.0;0.0
CZ;electrolysis_2030;2030;128.5;0.0
CZ;hydro_pondage;2030;0.0;0.0
CZ;hydro_pondage_h2o_inflow;2030;0.0;0.0
CZ;hydro_reservoir;2030;428.9;428.9
CZ;hydro_reservoir_h2o_inflow;2030;428.9;428.9
CZ;hydro_river;2030;415.0;415.0
CZ;lignite_pp;2030;932.4;932.4
CZ;nuclear_lte;2030;4099.4;4099.4
CZ;nuclear_new;2030;0.0;0.0
CZ;ocgt;2030;;1238.1
CZ;oil_pp;2030;0.0;0.0
CZ;other_res;2030;1297.8;1297.8
CZ;solar_pv;2030;9000.0;9000.0
CZ;wind_offshore;2030;0.0;0.0
CZ;wind_onshore;2030;1000.0;1000.0
DE;ccgt;2030;27570.7;27570.7
DE;coal_pp;2030;6284.0;6284.0
DE;dsr_1;2030;2127.2;2127.2
DE;dsr_10;2030;49.4;49.4
DE;dsr_2;2030;1307.2;1307.2
DE;dsr_3;2030;304.2;304.2
DE;dsr_4;2030;259.1;259.1
DE;dsr_5;2030;19.0;19.0
DE;dsr_6;2030;471.7;471.7
DE;dsr_7;2030;200.1;200.1
DE;dsr_8;2030;152.4;152.4
DE;dsr_9;2030;103.6;103.6
DE;electrolysis_2030;2030;10000.0;0.0
DE;hydro_pondage;2030;0.0;0.0
DE;hydro_pondage_h2o_inflow;2030;0.0;0.0
DE;hydro_reservoir;2030;1007.9;1007.9
DE;hydro_reservoir_h2o_inflow;2030;1007.9;1007.9
DE;hydro_river;2030;3933.9;3933.9
DE;lignite_pp;2030;6041.4;6041.4
DE;nuclear_lte;2030;0.0;0.0
DE;nuclear_new;2030;0.0;0.0
DE;ocgt;2030;;18040.5
DE;oil_pp;2030;1168.4;1168.4
DE;other_res;2030;12838.3;12838.3
DE;solar_pv;2030;215000.0;215000.0
DE;wind_offshore;2030;24000.0;24000.0
DE;wind_onshore;2030;94000.0;94000.0
DK;ccgt;2030;327.9;327.9
DK;coal_pp;2030;2014.5;2014.5
DK;dsr_1;2030;0.0;0.0
DK;dsr_10;2030;0.0;0.0
DK;dsr_2;2030;0.0;0.0
DK;dsr_3;2030;0.0;0.0
DK;dsr_4;2030;0.0;0.0
DK;dsr_5;2030;0.0;0.0
DK;dsr_6;2030;0.0;0.0
DK;dsr_7;2030;0.0;0.0
DK;dsr_8;2030;0.0;0.0
DK;dsr_9;2030;0.0;0.0
DK;electrolysis_2030;2030;2772.0;0.0
DK;hydro_pondage;2030;0.0;0.0
DK;hydro_pondage_h2o_inflow;2030;0.0;0.0
DK;hydro_reservoir;2030;0.0;0.0
DK;hydro_reservoir_h2o_inflow;2030;0.0;0.0
DK;hydro_river;2030;0.0;0.0
DK;lignite_pp;2030;0.0;0.0
DK;nuclear_lte;2030;0.0;0.0
DK;nuclear_new;2030;0.0;0.0
DK;ocgt;2030;;1210.1
DK;oil_pp;2030;700.8;700.8
DK;other_res;2030;0.0;0.0
DK;solar_pv;2030;20000.0;20000.0
DK;wind_offshore;2030;2000.0;2000.0
DK;wind_onshore;2030;5000.0;5000.0
EE;ccgt;2030;0.0;0.0
EE;coal_pp;2030;0.0;0.0
EE;dsr_1;2030;198.0;198.0
EE;dsr_10;2030;0.0;0.0
EE;dsr_2;2030;0.0;0.0
EE;dsr_3;2030;0.0;0.0
EE;dsr_4;2030;0.0;0.0
EE;dsr_5;2030;0.0;0.0
EE;dsr_6;2030;0.0;0.0
EE;dsr_7;2030;0.0;0.0
EE;dsr_8;2030;0.0;0.0
EE;dsr_9;2030;0.0;0.0
EE;electrolysis_2030;2030;0.0;0.0
EE;hydro_pondage;2030;0.0;0.0
EE;hydro_pondage_h2o_inflow;2030;0.0;0.0
EE;hydro_reservoir;2030;0.0;0.0
EE;hydro_reservoir_h2o_inflow;2030;0.0;0.0
EE;hydro_river;2030;0.0;0.0
EE;lignite_pp;2030;0.0;0.0
EE;nuclear_lte;2030;0.0;0.0
EE;nuclear_new;2030;0.0;0.0
EE;ocgt;2030;;385.0
EE;oil_pp;2030;272.0;272.0
EE;other_res;2030;169.0;169.0
EE;solar_pv;2030;1000.0;1000.0
EE;wind_offshore;2030;0.0;0.0
EE;wind_onshore;2030;2000.0;2000.0
ES;ccgt;2030;24559.6;24559.6
ES;coal_pp;2030;0.0;0.0
ES;dsr_1;2030;609.4;609.4
ES;dsr_10;2030;0.0;0.0
ES;dsr_2;2030;0.0;0.0
ES;dsr_3;2030;0.0;0.0
ES;dsr_4;2030;0.0;0.0
ES;dsr_5;2030;0.0;0.0
ES;dsr_6;2030;0.0;0.0
ES;dsr_7;2030;0.0;0.0
ES;dsr_8;2030;0.0;0.0
ES;dsr_9;2030;0.0;0.0
ES;electrolysis_2030;2030;11959.5;0.0
ES;hydro_pondage;2030;0.0;0.0
ES;hydro_pondage_h2o_inflow;2030;0.0;0.0
ES;hydro_reservoir;2030;11536.3;11536.3
ES;hydro_reservoir_h2o_inflow;2030;11536.3;11536.3
ES;hydro_river;2030;3117.9;3117.9
ES;lignite_pp;2030;0.0;0.0
ES;nuclear_lte;2030;5100.1;5100.1
ES;nuclear_new;2030;0.0;0.0
ES;ocgt;2030;;0.0
ES;oil_pp;2030;0.0;0.0
ES;other_res;2030;1962.7;1962.7
ES;solar_pv;2030;72000.0;72000.0
ES;wind_offshore;2030;2000.0;2000.0
ES;wind_onshore;2030;57000.0;57000.0
FI;ccgt;2030;874.0;874.0
FI;coal_pp;2030;1916.0;1916.0
FI;dsr_1;2030;369.9;369.9
FI;dsr_10;2030;0.0;0.0
FI;dsr_2;2030;61.6;61.6
FI;dsr_3;2030;246.6;246.6
FI;dsr_4;2030;308.2;308.2
FI;dsr_5;2030;308.2;308.2
FI;dsr_6;2030;184.9;184.9
FI;dsr_7;2030;184.9;184.9
FI;dsr_8;2030;0.0;0.0
FI;dsr_9;2030;0.0;0.0
FI;electrolysis_2030;2030;1400.0;0.0
FI;hydro_pondage;2030;0.0;0.0
FI;hydro_pondage_h2o_inflow;2030;0.0;0.0
FI;hydro_reservoir;2030;3237.4;3237.4
FI;hydro_reservoir_h2o_inflow;2030;3237.4;3237.4
FI;hydro_river;2030;0.0;0.0
FI;lignite_pp;2030;0.0;0.0
FI;nuclear_lte;2030;2972.0;2972.0
FI;nuclear_new;2030;1600.0;1600.0
FI;ocgt;2030;;274.0
FI;oil_pp;2030;0.0;0.0
FI;other_res;2030;1835.5;1835.5
FI;solar_pv;2030;9000.0;9000.0
FI;wind_offshore;2030;0.0;0.0
FI;wind_onshore;2030;19000.0;19000.0
FR;ccgt;2030;6553.0;6553.0
FR;coal_pp;2030;0.0;0.0
FR;dsr_1;2030;5710.0;5710.0
FR;dsr_10;2030;0.0;0.0
FR;dsr_2;2030;0.0;0.0
FR;dsr_3;2030;0.0;0.0
FR;dsr_4;2030;0.0;0.0
FR;dsr_5;2030;0.0;0.0
FR;dsr_6;2030;0.0;0.0
FR;dsr_7;2030;0.0;0.0
FR;dsr_8;2030;0.0;0.0
FR;dsr_9;2030;0.0;0.0
FR;electrolysis_2030;2030;4500.0;0.0
FR;hydro_pondage;2030;0.0;0.0
FR;hydro_pondage_h2o_inflow;2030;0.0;0.0
FR;hydro_reservoir;2030;9849.0;9849.0
FR;hydro_reservoir_h2o_inflow;2030;9849.0;9849.0
FR;hydro_river;2030;13600.0;13600.0
FR;lignite_pp;2030;0.0;0.0
FR;nuclear_lte;2030;61420.0;61420.0
FR;nuclear_new;2030;1600.0;1600.0
FR;ocgt;2030;5466.0;5466.0
FR;oil_pp;2030;1331.0;1331.0
FR;other_res;2030;1823.0;1823.0
FR;solar_pv;2030;41000.0;41000.0
FR;wind_offshore;2030;3000.0;3000.0
FR;wind_onshore;2030;30000.0;30000.0
GR;ccgt;2030;7571.0;7571.0
GR;coal_pp;2030;0.0;0.0
GR;dsr_1;2030;285.0;285.0
GR;dsr_10;2030;0.0;0.0
GR;dsr_2;2030;0.0;0.0
GR;dsr_3;2030;0.0;0.0
GR;dsr_4;2030;0.0;0.0
GR;dsr_5;2030;0.0;0.0
GR;dsr_6;2030;0.0;0.0
GR;dsr_7;2030;0.0;0.0
GR;dsr_8;2030;0.0;0.0
GR;dsr_9;2030;0.0;0.0
GR;electrolysis_2030;2030;231.2;0.0
GR;hydro_pondage;2030;22.1;22.1
GR;hydro_pondage_h2o_inflow;2030;22.1;22.1
GR;hydro_reservoir;2030;2756.7;2756.7
GR;hydro_reservoir_h2o_inflow;2030;2756.7;2756.7
GR;hydro_river;2030;325.5;325.5
GR;lignite_pp;2030;0.0;0.0
GR;nuclear_lte;2030;0.0;0.0
GR;nuclear_new;2030;0.0;0.0
GR;ocgt;2030;203.0;203.0
GR;oil_pp;2030;143.5;143.5
GR;other_res;2030;78.8;78.8
GR;solar_pv;2030;13000.0;13000.0
GR;wind_offshore;2030;1000.0;1000.0
GR;wind_onshore;2030;8000.0;8000.0
HR;ccgt;2030;747.0;747.0
HR;coal_pp;2030;290.0;290.0
HR;dsr_1;2030;87.0;87.0
HR;dsr_10;2030;0.0;0.0
HR;dsr_2;2030;0.0;0.0
HR;dsr_3;2030;0.0;0.0
HR;dsr_4;2030;0.0;0.0
HR;dsr_5;2030;0.0;0.0
HR;dsr_6;2030;0.0;0.0
HR;dsr_7;2030;0.0;0.0
HR;dsr_8;2030;0.0;0.0
HR;dsr_9;2030;0.0;0.0
HR;electrolysis_2030;2030;671.5;0.0
HR;hydro_pondage;2030;313.3;313.3
HR;hydro_pondage_h2o_inflow;2030;313.3;313.3
HR;hydro_reservoir;2030;1423.3;1423.3
HR;hydro_reservoir_h2o_inflow;2030;1423.3;1423.3
HR;hydro_river;2030;64.9;64.9
HR;lignite_pp;2030;0.0;0.0
HR;nuclear_lte;2030;0.0;0.0
HR;nuclear_new;2030;0.0;0.0
HR;ocgt;2030;;927.0
HR;oil_pp;2030;303.0;303.0
HR;other_res;2030;210.3;210.3
HR;solar_pv;2030;0.0;0.0
HR;wind_offshore;2030;0.0;0.0
HR;wind_onshore;2030;2000.0;2000.0
HU;ccgt;2030;3279.4;3279.4
HU;coal_pp;2030;157.8;157.8
HU;dsr_1;2030;0.0;0.0
HU;dsr_10;2030;0.0;0.0
HU;dsr_2;2030;0.0;0.0
HU;dsr_3;2030;0.0;0.0
HU;dsr_4;2030;0.0;0.0
HU;dsr_5;2030;0.0;0.0
HU;dsr_6;2030;0.0;0.0
HU;dsr_7;2030;0.0;0.0
HU;dsr_8;2030;0.0;0.0
HU;dsr_9;2030;0.0;0.0
HU;electrolysis_2030;2030;240.0;0.0
HU;hydro_pondage;2030;0.0;0.0
HU;hydro_pondage_h2o_inflow;2030;0.0;0.0
HU;hydro_reservoir;2030;0.0;0.0
HU;hydro_reservoir_h2o_inflow;2030;0.0;0.0
HU;hydro_river;2030;63.0;63.0
HU;lignite_pp;2030;0.0;0.0
HU;nuclear_lte;2030;737.0;737.0
HU;nuclear_new;2030;1180.0;1180.0
HU;ocgt;2030;;1341.3
HU;oil_pp;2030;10.0;10.0
HU;other_res;2030;246.7;246.7
HU;solar_pv;2030;13000.0;13000.0
HU;wind_offshore;2030;0.0;0.0
HU;wind_onshore;2030;1000.0;1000.0
IE;ccgt;2030;4799.9;4799.9
IE;coal_pp;2030;0.0;0.0
IE;dsr_1;2030;142.0;142.0
IE;dsr_10;2030;0.0;0.0
IE;dsr_2;2030;0.0;0.0
IE;dsr_3;2030;0.0;0.0
IE;dsr_4;2030;0.0;0.0
IE;dsr_5;2030;0.0;0.0
IE;dsr_6;2030;0.0;0.0
IE;dsr_7;2030;0.0;0.0
IE;dsr_8;2030;0.0;0.0
IE;dsr_9;2030;0.0;0.0
IE;electrolysis_2030;2030;0.0;0.0
IE;hydro_pondage;2030;0.0;0.0
IE;hydro_pondage_h2o_inflow;2030;0.0;0.0
IE;hydro_reservoir;2030;0.0;0.0
IE;hydro_reservoir_h2o_inflow;2030;0.0;0.0
IE;hydro_river;2030;215.0;215.0
IE;lignite_pp;2030;0.0;0.0
IE;nuclear_lte;2030;0.0;0.0
IE;nuclear_new;2030;0.0;0.0
IE;ocgt;2030;;1106.0
IE;oil_pp;2030;208.0;208.0
IE;other_res;2030;0.0;0.0
IE;solar_pv;2030;8000.0;8000.0
IE;wind_offshore;2030;6000.0;6000.0
IE;wind_onshore;2030;9000.0;9000.0
IT;ccgt;2030;0.0;0.0
IT;coal_pp;2030;0.0;0.0
IT;dsr_1;2030;0.0;0.0
IT;dsr_10;2030;0.0;0.0
IT;dsr_2;2030;0.0;0.0
IT;dsr_3;2030;0.0;0.0
IT;dsr_4;2030;0.0;0.0
IT;dsr_5;2030;0.0;0.0
IT;dsr_6;2030;0.0;0.0
IT;dsr_7;2030;0.0;0.0
IT;dsr_8;2030;0.0;0.0
IT;dsr_9;2030;0.0;0.0
IT;electrolysis_2030;2030;0.0;0.0
IT;hydro_pondage;2030;0.0;0.0
IT;hydro_pondage_h2o_inflow;2030;0.0;0.0
IT;hydro_reservoir;2030;0.0;0.0
IT;hydro_reservoir_h2o_inflow;2030;0.0;0.0
IT;hydro_river;2030;0.0;0.0
IT;lignite_pp;2030;0.0;0.0
IT;nuclear_lte;2030;0.0;0.0
IT;nuclear_new;2030;0.0;0.0
IT;ocgt;2030;;0.0
IT;oil_pp;2030;0.0;0.0
IT;other_res;2030;0.0;0.0
IT;solar_pv;2030;0.0;0.0
IT;wind_offshore;2030;0.0;0.0
IT;wind_onshore;2030;0.0;0.0
LT;ccgt;2030;403.0;403.0
LT;coal_pp;2030;0.0;0.0
LT;dsr_1;2030;40.0;40.0
LT;dsr_10;2030;0.0;0.0
LT;dsr_2;2030;0.0;0.0
LT;dsr_3;2030;0.0;0.0
LT;dsr_4;2030;0.0;0.0
LT;dsr_5;2030;0.0;0.0
LT;dsr_6;2030;0.0;0.0
LT;dsr_7;2030;0.0;0.0
LT;dsr_8;2030;0.0;0.0
LT;dsr_9;2030;0.0;0.0
LT;electrolysis_2030;2030;1300.0;0.0
LT;hydro_pondage;2030;0.0;0.0
LT;hydro_pondage_h2o_inflow;2030;0.0;0.0
LT;hydro_reservoir;2030;0.0;0.0
LT;hydro_reservoir_h2o_inflow;2030;0.0;0.0
LT;hydro_river;2030;127.4;127.4
LT;lignite_pp;2030;0.0;0.0
LT;nuclear_lte;2030;0.0;0.0
LT;nuclear_new;2030;0.0;0.0
LT;ocgt;2030;;221.0
LT;oil_pp;2030;0.0;0.0
LT;other_res;2030;210.0;210.0
LT;solar_pv;2030;4000.0;4000.0
LT;wind_offshore;2030;0.0;0.0
LT;wind_onshore;2030;4000.0;4000.0
LU;ccgt;2030;0.0;0.0
LU;coal_pp;2030;0.0;0.0
LU;dsr_1;2030;45.0;45.0
LU;dsr_10;2030;0.0;0.0
LU;dsr_2;2030;0.0;0.0
LU;dsr_3;2030;0.0;0.0
LU;dsr_4;2030;0.0;0.0
LU;dsr_5;2030;0.0;0.0
LU;dsr_6;2030;0.0;0.0
LU;dsr_7;2030;0.0;0.0
LU;dsr_8;2030;0.0;0.0
LU;dsr_9;2030;0.0;0.0
LU;electrolysis_2030;2030;20.0;0.0
LU;hydro_pondage;2030;0.0;0.0
LU;hydro_pondage_h2o_inflow;2030;0.0;0.0
LU;hydro_reservoir;2030;0.0;0.0
LU;hydro_reservoir_h2o_inflow;2030;0.0;0.0
LU;hydro_river;2030;27.0;27.0
LU;lignite_pp;2030;0.0;0.0
LU;nuclear_lte;2030;0.0;0.0
LU;nuclear_new;2030;0.0;0.0
LU;ocgt;2030;;6.5
LU;oil_pp;2030;0.0;0.0
LU;other_res;2030;105.5;105.5
LU;solar_pv;2030;0.0;0.0
LU;wind_offshore;2030;0.0;0.0
