area;year_op;resource;conservation_hrs;ramp_up;ramp_down;maxload_ratio;minload_ratio
AL;2030;ev_demand;6;;;1.0;1.0
AL;2030;hp_demand;6;;;1.0;1.0
AT;2030;ev_demand;6;;;1.07;0.93
AT;2030;hp_demand;6;;;1.07;0.93
BA;2030;ev_demand;6;;;2.0;0.0
BA;2030;hp_demand;6;;;1.0;1.0
BE;2030;ev_demand;6;;;1.18;0.82
BE;2030;hp_demand;6;;;1.09;0.91
BG;2030;ev_demand;6;;;1.0;1.0
BG;2030;hp_demand;6;;;1.0;1.0
CH;2030;ev_demand;6;;;1.17;0.83
CH;2030;hp_demand;6;;;1.747;0.253
CY;2030;ev_demand;6;;;1.0;1.0
CY;2030;hp_demand;6;;;1.0;1.0
CZ;2030;ev_demand;6;;;1.0;1.0
CZ;2030;hp_demand;6;;;1.0;1.0
DE;2030;ev_demand;6;;;1.6;0.4
DE;2030;hp_demand;6;;;1.65;0.35
DK;2030;ev_demand;6;;;1.0;1.0
DK;2030;hp_demand;6;;;1.561;0.439
EE;2030;ev_demand;6;;;1.0;1.0
EE;2030;hp_demand;6;;;1.0;1.0
ES;2030;ev_demand;6;;;1.0;1.0
ES;2030;hp_demand;6;;;1.0;1.0
FI;2030;ev_demand;6;;;1.5;0.5
FI;2030;hp_demand;6;;;1.26;0.74
FR;2030;ev_demand;6;;;1.08;0.92
FR;2030;hp_demand;6;;;1.0;1.0
GR;2030;ev_demand;6;;;1.0;1.0
GR;2030;hp_demand;6;;;1.0;1.0
HR;2030;ev_demand;6;;;1.0;1.0
HR;2030;hp_demand;6;;;1.0;1.0
HU;2030;ev_demand;6;;;1.0;1.0
HU;2030;hp_demand;6;;;1.0;1.0
IE;2030;ev_demand;6;;;1.0;1.0
IE;2030;hp_demand;6;;;1.0;1.0
IT;2030;ev_demand;6;;;1.0;1.0
IT;2030;hp_demand;6;;;1.0;1.0
LT;2030;ev_demand;6;;;1.0;1.0
LT;2030;hp_demand;6;;;1.0;1.0
LU;2030;ev_demand;6;;;1.1;0.9
LU;2030;hp_demand;6;;;1.1;0.9
LV;2030;ev_demand;6;;;1.0;1.0
LV;2030;hp_demand;6;;;1.0;1.0
MD;2030;ev_demand;6;;;1.0;1.0
MD;2030;hp_demand;6;;;1.0;1.0
ME;2030;ev_demand;6;;;1.0;1.0
ME;2030;hp_demand;6;;;1.0;1.0
MK;2030;ev_demand;6;;;1.0;1.0
MK;2030;hp_demand;6;;;1.0;1.0
MT;2030;ev_demand;6;;;1.0;1.0
MT;2030;hp_demand;6;;;1.0;1.0
NL;2030;ev_demand;6;;;1.1;0.9
NL;2030;hp_demand;6;;;1.1;0.9
NO;2030;ev_demand;6;;;1.0;1.0
NO;2030;hp_demand;6;;;1.0;1.0
PL;2030;ev_demand;6;;;1.0;1.0
PL;2030;hp_demand;6;;;1.0;1.0
PT;2030;ev_demand;6;;;1.0;1.0
PT;2030;hp_demand;6;;;1.0;1.0
RO;2030;ev_demand;6;;;1.0;1.0
RO;2030;hp_demand;6;;;1.0;1.0
RS;2030;ev_demand;6;;;1.0;1.0
RS;2030;hp_demand;6;;;1.0;1.0
SE;2030;ev_demand;6;;;1.0;1.0
SE;2030;hp_demand;6;;;1.0;1.0
SI;2030;ev_demand;6;;;1.05;0.95
SI;2030;hp_demand;6;;;1.1;0.9
SK;2030;ev_demand;6;;;1.0;1.0
SK;2030;hp_demand;6;;;1.0;1.0
TR;2030;ev_demand;6;;;1.0;1.0
TR;2030;hp_demand;6;;;1.0;1.0
UA;2030;ev_demand;6;;;1.0;1.0
UA;2030;hp_demand;6;;;1.0;1.0
UK;2030;ev_demand;6;;;1.0;1.0
UK;2030;hp_demand;6;;;1.0;1.0
AL;2035;ev_demand;6;;;1.0;1.0
AL;2035;hp_demand;6;;;1.0;1.0
AT;2035;ev_demand;6;;;1.07;0.93
AT;2035;hp_demand;6;;;1.07;0.93
BA;2035;ev_demand;6;;;2.0;0.0
BA;2035;hp_demand;6;;;1.0;1.0
BE;2035;ev_demand;6;;;1.327;0.673
BE;2035;hp_demand;6;;;1.159;0.841
BG;2035;ev_demand;6;;;1.0;1.0
BG;2035;hp_demand;6;;;1.0;1.0
CH;2035;ev_demand;6;;;1.25;0.75
CH;2035;hp_demand;6;;;1.73;0.27
CY;2035;ev_demand;6;;;1.0;1.0
CY;2035;hp_demand;6;;;1.0;1.0
CZ;2035;ev_demand;6;;;1.0;1.0
CZ;2035;hp_demand;6;;;1.0;1.0
DE;2035;ev_demand;6;;;1.7;0.3
DE;2035;hp_demand;6;;;1.9;0.1
DK;2035;ev_demand;6;;;1.0;1.0
DK;2035;hp_demand;6;;;1.516;0.484
EE;2035;ev_demand;6;;;1.0;1.0
EE;2035;hp_demand;6;;;1.0;1.0
ES;2035;ev_demand;6;;;1.0;1.0
ES;2035;hp_demand;6;;;1.0;1.0
FI;2035;ev_demand;6;;;1.7;0.3
FI;2035;hp_demand;6;;;1.41;0.59
FR;2035;ev_demand;6;;;1.13;0.87
FR;2035;hp_demand;6;;;1.0;1.0
GR;2035;ev_demand;6;;;1.0;1.0
GR;2035;hp_demand;6;;;1.0;1.0
HR;2035;ev_demand;6;;;1.0;1.0
HR;2035;hp_demand;6;;;1.0;1.0
HU;2035;ev_demand;6;;;1.0;1.0
HU;2035;hp_demand;6;;;1.0;1.0
IE;2035;ev_demand;6;;;1.0;1.0
IE;2035;hp_demand;6;;;1.0;1.0
IT;2035;ev_demand;6;;;1.0;1.0
IT;2035;hp_demand;6;;;1.0;1.0
LT;2035;ev_demand;6;;;1.0;1.0
LT;2035;hp_demand;6;;;1.0;1.0
LU;2035;ev_demand;6;;;1.15;0.85
LU;2035;hp_demand;6;;;1.15;0.85
LV;2035;ev_demand;6;;;1.0;1.0
LV;2035;hp_demand;6;;;1.0;1.0
MD;2035;ev_demand;6;;;1.0;1.0
MD;2035;hp_demand;6;;;1.0;1.0
ME;2035;ev_demand;6;;;1.0;1.0
ME;2035;hp_demand;6;;;1.0;1.0
MK;2035;ev_demand;6;;;1.0;1.0
MK;2035;hp_demand;6;;;1.0;1.0
MT;2035;ev_demand;6;;;1.0;1.0
MT;2035;hp_demand;6;;;1.0;1.0
NL;2035;ev_demand;6;;;1.15;0.85
NL;2035;hp_demand;6;;;1.15;0.85
NO;2035;ev_demand;6;;;1.0;1.0
NO;2035;hp_demand;6;;;1.0;1.0
PL;2035;ev_demand;6;;;1.0;1.0
PL;2035;hp_demand;6;;;1.0;1.0
PT;2035;ev_demand;6;;;1.0;1.0
PT;2035;hp_demand;6;;;1.0;1.0
RO;2035;ev_demand;6;;;1.0;1.0
RO;2035;hp_demand;6;;;1.0;1.0
RS;2035;ev_demand;6;;;1.0;1.0
RS;2035;hp_demand;6;;;1.0;1.0
SE;2035;ev_demand;6;;;1.0;1.0
SE;2035;hp_demand;6;;;1.0;1.0
SI;2035;ev_demand;6;;;1.05;0.95
SI;2035;hp_demand;6;;;1.1;0.9
SK;2035;ev_demand;6;;;1.0;1.0
SK;2035;hp_demand;6;;;1.0;1.0
TR;2035;ev_demand;6;;;1.0;1.0
TR;2035;hp_demand;6;;;1.0;1.0
UA;2035;ev_demand;6;;;1.0;1.0
UA;2035;hp_demand;6;;;1.0;1.0
UK;2035;ev_demand;6;;;1.0;1.0
UK;2035;hp_demand;6;;;1.0;1.0
AL;2040;ev_demand;6;;;1.0;1.0
AL;2040;hp_demand;6;;;1.0;1.0
AT;2040;ev_demand;6;;;1.07;0.93
AT;2040;hp_demand;6;;;1.07;0.93
BA;2040;ev_demand;6;;;2.0;0.0
BA;2040;hp_demand;6;;;1.0;1.0
BE;2040;ev_demand;6;;;1.327;0.673
BE;2040;hp_demand;6;;;1.159;0.841
BG;2040;ev_demand;6;;;1.0;1.0
BG;2040;hp_demand;6;;;1.0;1.0
CH;2040;ev_demand;6;;;1.25;0.75
CH;2040;hp_demand;6;;;1.73;0.27
CY;2040;ev_demand;6;;;1.0;1.0
CY;2040;hp_demand;6;;;1.0;1.0
CZ;2040;ev_demand;6;;;1.0;1.0
CZ;2040;hp_demand;6;;;1.0;1.0
DE;2040;ev_demand;6;;;1.7;0.3
DE;2040;hp_demand;6;;;1.9;0.1
DK;2040;ev_demand;6;;;1.0;1.0
DK;2040;hp_demand;6;;;1.516;0.484
EE;2040;ev_demand;6;;;1.0;1.0
EE;2040;hp_demand;6;;;1.0;1.0
ES;2040;ev_demand;6;;;1.0;1.0
ES;2040;hp_demand;6;;;1.0;1.0
FI;2040;ev_demand;6;;;1.7;0.3
FI;2040;hp_demand;6;;;1.41;0.59
FR;2040;ev_demand;6;;;1.13;0.87
FR;2040;hp_demand;6;;;1.0;1.0
GR;2040;ev_demand;6;;;1.0;1.0
GR;2040;hp_demand;6;;;1.0;1.0
HR;2040;ev_demand;6;;;1.0;1.0
HR;2040;hp_demand;6;;;1.0;1.0
HU;2040;ev_demand;6;;;1.0;1.0
HU;2040;hp_demand;6;;;1.0;1.0
IE;2040;ev_demand;6;;;1.0;1.0
IE;2040;hp_demand;6;;;1.0;1.0
IT;2040;ev_demand;6;;;1.0;1.0
IT;2040;hp_demand;6;;;1.0;1.0
LT;2040;ev_demand;6;;;1.0;1.0
LT;2040;hp_demand;6;;;1.0;1.0
LU;2040;ev_demand;6;;;1.15;0.85
LU;2040;hp_demand;6;;;1.15;0.85
LV;2040;ev_demand;6;;;1.0;1.0
LV;2040;hp_demand;6;;;1.0;1.0
MD;2040;ev_demand;6;;;1.0;1.0
MD;2040;hp_demand;6;;;1.0;1.0
ME;2040;ev_demand;6;;;1.0;1.0
ME;2040;hp_demand;6;;;1.0;1.0
MK;2040;ev_demand;6;;;1.0;1.0
MK;2040;hp_demand;6;;;1.0;1.0
MT;2040;ev_demand;6;;;1.0;1.0
MT;2040;hp_demand;6;;;1.0;1.0
NL;2040;ev_demand;6;;;1.15;0.85
NL;2040;hp_demand;6;;;1.15;0.85
NO;2040;ev_demand;6;;;1.0;1.0
NO;2040;hp_demand;6;;;1.0;1.0
PL;2040;ev_demand;6;;;1.0;1.0
PL;2040;hp_demand;6;;;1.0;1.0
PT;2040;ev_demand;6;;;1.0;1.0
PT;2040;hp_demand;6;;;1.0;1.0
RO;2040;ev_demand;6;;;1.0;1.0
RO;2040;hp_demand;6;;;1.0;1.0
RS;2040;ev_demand;6;;;1.0;1.0
RS;2040;hp_demand;6;;;1.0;1.0
SE;2040;ev_demand;6;;;1.0;1.0
SE;2040;hp_demand;6;;;1.0;1.0
SI;2040;ev_demand;6;;;1.05;0.95
SI;2040;hp_demand;6;;;1.1;0.9
SK;2040;ev_demand;6;;;1.0;1.0
SK;2040;hp_demand;6;;;1.0;1.0
TR;2040;ev_demand;6;;;1.0;1.0
TR;2040;hp_demand;6;;;1.0;1.0
UA;2040;ev_demand;6;;;1.0;1.0
UA;2040;hp_demand;6;;;1.0;1.0
UK;2040;ev_demand;6;;;1.0;1.0
UK;2040;hp_demand;6;;;1.0;1.0
AL;2050;ev_demand;6;;;1.0;1.0
AL;2050;hp_demand;6;;;1.0;1.0
AT;2050;ev_demand;6;;;1.07;0.93
AT;2050;hp_demand;6;;;1.07;0.93
BA;2050;ev_demand;6;;;2.0;0.0
BA;2050;hp_demand;6;;;1.0;1.0
BE;2050;ev_demand;6;;;1.327;0.673
BE;2050;hp_demand;6;;;1.159;0.841
BG;2050;ev_demand;6;;;1.0;1.0
BG;2050;hp_demand;6;;;1.0;1.0
CH;2050;ev_demand;6;;;1.25;0.75
CH;2050;hp_demand;6;;;1.73;0.27
CY;2050;ev_demand;6;;;1.0;1.0
CY;2050;hp_demand;6;;;1.0;1.0
CZ;2050;ev_demand;6;;;1.0;1.0
CZ;2050;hp_demand;6;;;1.0;1.0
DE;2050;ev_demand;6;;;1.7;0.3
DE;2050;hp_demand;6;;;1.9;0.1
DK;2050;ev_demand;6;;;1.0;1.0
DK;2050;hp_demand;6;;;1.516;0.484
EE;2050;ev_demand;6;;;1.0;1.0
EE;2050;hp_demand;6;;;1.0;1.0
ES;2050;ev_demand;6;;;1.0;1.0
ES;2050;hp_demand;6;;;1.0;1.0
FI;2050;ev_demand;6;;;1.7;0.3
FI;2050;hp_demand;6;;;1.41;0.59
FR;2050;ev_demand;6;;;1.13;0.87
FR;2050;hp_demand;6;;;1.0;1.0
GR;2050;ev_demand;6;;;1.0;1.0
GR;2050;hp_demand;6;;;1.0;1.0
HR;2050;ev_demand;6;;;1.0;1.0
HR;2050;hp_demand;6;;;1.0;1.0
HU;2050;ev_demand;6;;;1.0;1.0
HU;2050;hp_demand;6;;;1.0;1.0
IE;2050;ev_demand;6;;;1.0;1.0
IE;2050;hp_demand;6;;;1.0;1.0
IT;2050;ev_demand;6;;;1.0;1.0
IT;2050;hp_demand;6;;;1.0;1.0
LT;2050;ev_demand;6;;;1.0;1.0
LT;2050;hp_demand;6;;;1.0;1.0
LU;2050;ev_demand;6;;;1.15;0.85
LU;2050;hp_demand;6;;;1.15;0.85
LV;2050;ev_demand;6;;;1.0;1.0
LV;2050;hp_demand;6;;;1.0;1.0
MD;2050;ev_demand;6;;;1.0;1.0
MD;2050;hp_demand;6;;;1.0;1.0
ME;2050;ev_demand;6;;;1.0;1.0
ME;2050;hp_demand;6;;;1.0;1.0
MK;2050;ev_demand;6;;;1.0;1.0
MK;2050;hp_demand;6;;;1.0;1.0
MT;2050;ev_demand;6;;;1.0;1.0
MT;2050;hp_demand;6;;;1.0;1.0
NL;2050;ev_demand;6;;;1.15;0.85
NL;2050;hp_demand;6;;;1.15;0.85
NO;2050;ev_demand;6;;;1.0;1.0
NO;2050;hp_demand;6;;;1.0;1.0
PL;2050;ev_demand;6;;;1.0;1.0
PL;2050;hp_demand;6;;;1.0;1.0
PT;2050;ev_demand;6;;;1.0;1.0
PT;2050;hp_demand;6;;;1.0;1.0
RO;2050;ev_demand;6;;;1.0;1.0
RO;2050;hp_demand;6;;;1.0;1.0
RS;2050;ev_demand;6;;;1.0;1.0
RS;2050;hp_demand;6;;;1.0;1.0
SE;2050;ev_demand;6;;;1.0;1.0
SE;2050;hp_demand;6;;;1.0;1.0
SI;2050;ev_demand;6;;;1.05;0.95
SI;2050;hp_demand;6;;;1.1;0.9
SK;2050;ev_demand;6;;;1.0;1.0
SK;2050;hp_demand;6;;;1.0;1.0
TR;2050;ev_demand;6;;;1.0;1.0
TR;2050;hp_demand;6;;;1.0;1.0
UA;2050;ev_demand;6;;;1.0;1.0
UA;2050;hp_demand;6;;;1.0;1.0
UK;2050;ev_demand;6;;;1.0;1.0
UK;2050;hp_demand;6;;;1.0;1.0
AL;2030;hydrogen;24;;;20.0;0.0
AT;2030;hydrogen;24;;;20.0;0.0
BA;2030;hydrogen;24;;;20.0;0.0
BE;2030;hydrogen;24;;;20.0;0.0
BG;2030;hydrogen;24;;;20.0;0.0
CH;2030;hydrogen;24;;;20.0;0.0
CY;2030;hydrogen;24;;;20.0;0.0
CZ;2030;hydrogen;24;;;20.0;0.0
DE;2030;hydrogen;24;;;20.0;0.0
DK;2030;hydrogen;24;;;20.0;0.0
EE;2030;hydrogen;24;;;20.0;0.0
ES;2030;hydrogen;24;;;20.0;0.0
FI;2030;hydrogen;24;;;20.0;0.0
FR;2030;hydrogen;24;;;20.0;0.0
GR;2030;hydrogen;24;;;20.0;0.0
HR;2030;hydrogen;24;;;20.0;0.0
HU;2030;hydrogen;24;;;20.0;0.0
IE;2030;hydrogen;24;;;20.0;0.0
IT;2030;hydrogen;24;;;20.0;0.0
LT;2030;hydrogen;24;;;20.0;0.0
LU;2030;hydrogen;24;;;20.0;0.0
LV;2030;hydrogen;24;;;20.0;0.0
MD;2030;hydrogen;24;;;20.0;0.0
ME;2030;hydrogen;24;;;20.0;0.0
MK;2030;hydrogen;24;;;20.0;0.0
MT;2030;hydrogen;24;;;20.0;0.0
NL;2030;hydrogen;24;;;20.0;0.0
NO;2030;hydrogen;24;;;20.0;0.0
PL;2030;hydrogen;24;;;20.0;0.0
PT;2030;hydrogen;24;;;20.0;0.0
RO;2030;hydrogen;24;;;20.0;0.0
RS;2030;hydrogen;24;;;20.0;0.0
SE;2030;hydrogen;24;;;20.0;0.0
SI;2030;hydrogen;24;;;20.0;0.0
SK;2030;hydrogen;24;;;20.0;0.0
TR;2030;hydrogen;24;;;20.0;0.0
UA;2030;hydrogen;24;;;20.0;0.0
UK;2030;hydrogen;24;;;20.0;0.0
AL;2035;hydrogen;24;;;20.0;0.0
AT;2035;hydrogen;24;;;20.0;0.0
BA;2035;hydrogen;24;;;20.0;0.0
BE;2035;hydrogen;24;;;20.0;0.0
BG;2035;hydrogen;24;;;20.0;0.0
CH;2035;hydrogen;24;;;20.0;0.0
CY;2035;hydrogen;24;;;20.0;0.0
CZ;2035;hydrogen;24;;;20.0;0.0
DE;2035;hydrogen;24;;;20.0;0.0
DK;2035;hydrogen;24;;;20.0;0.0
EE;2035;hydrogen;24;;;20.0;0.0
ES;2035;hydrogen;24;;;20.0;0.0
FI;2035;hydrogen;24;;;20.0;0.0
FR;2035;hydrogen;24;;;20.0;0.0
GR;2035;hydrogen;24;;;20.0;0.0
HR;2035;hydrogen;24;;;20.0;0.0
HU;2035;hydrogen;24;;;20.0;0.0
IE;2035;hydrogen;24;;;20.0;0.0
IT;2035;hydrogen;24;;;20.0;0.0
LT;2035;hydrogen;24;;;20.0;0.0
LU;2035;hydrogen;24;;;20.0;0.0
LV;2035;hydrogen;24;;;20.0;0.0
MD;2035;hydrogen;24;;;20.0;0.0
ME;2035;hydrogen;24;;;20.0;0.0
MK;2035;hydrogen;24;;;20.0;0.0
MT;2035;hydrogen;24;;;20.0;0.0
NL;2035;hydrogen;24;;;20.0;0.0
NO;2035;hydrogen;24;;;20.0;0.0
PL;2035;hydrogen;24;;;20.0;0.0
PT;2035;hydrogen;24;;;20.0;0.0
RO;2035;hydrogen;24;;;20.0;0.0
RS;2035;hydrogen;24;;;20.0;0.0
SE;2035;hydrogen;24;;;20.0;0.0
SI;2035;hydrogen;24;;;20.0;0.0
SK;2035;hydrogen;24;;;20.0;0.0
TR;2035;hydrogen;24;;;20.0;0.0
UA;2035;hydrogen;24;;;20.0;0.0
UK;2035;hydrogen;24;;;20.0;0.0
AL;2040;hydrogen;24;;;20.0;0.0
AT;2040;hydrogen;24;;;20.0;0.0
BA;2040;hydrogen;24;;;20.0;0.0
BE;2040;hydrogen;24;;;20.0;0.0
BG;2040;hydrogen;24;;;20.0;0.0
CH;2040;hydrogen;24;;;20.0;0.0
CY;2040;hydrogen;24;;;20.0;0.0
CZ;2040;hydrogen;24;;;20.0;0.0
DE;2040;hydrogen;24;;;20.0;0.0
DK;2040;hydrogen;24;;;20.0;0.0
EE;2040;hydrogen;24;;;20.0;0.0
ES;2040;hydrogen;24;;;20.0;0.0
FI;2040;hydrogen;24;;;20.0;0.0
FR;2040;hydrogen;24;;;20.0;0.0
GR;2040;hydrogen;24;;;20.0;0.0
HR;2040;hydrogen;24;;;20.0;0.0
HU;2040;hydrogen;24;;;20.0;0.0
IE;2040;hydrogen;24;;;20.0;0.0
IT;2040;hydrogen;24;;;20.0;0.0
LT;2040;hydrogen;24;;;20.0;0.0
LU;2040;hydrogen;24;;;20.0;0.0
LV;2040;hydrogen;24;;;20.0;0.0
MD;2040;hydrogen;24;;;20.0;0.0
ME;2040;hydrogen;24;;;20.0;0.0
MK;2040;hydrogen;24;;;20.0;0.0
MT;2040;hydrogen;24;;;20.0;0.0
NL;2040;hydrogen;24;;;20.0;0.0
NO;2040;hydrogen;24;;;20.0;0.0
PL;2040;hydrogen;24;;;20.0;0.0
PT;2040;hydrogen;24;;;20.0;0.0
RO;2040;hydrogen;24;;;20.0;0.0
RS;2040;hydrogen;24;;;20.0;0.0
SE;2040;hydrogen;24;;;20.0;0.0
SI;2040;hydrogen;24;;;20.0;0.0
SK;2040;hydrogen;24;;;20.0;0.0
TR;2040;hydrogen;24;;;20.0;0.0
UA;2040;hydrogen;24;;;20.0;0.0
UK;2040;hydrogen;24;;;20.0;0.0
AL;2050;hydrogen;24;;;20.0;0.0
AT;2050;hydrogen;24;;;20.0;0.0
BA;2050;hydrogen;24;;;20.0;0.0
BE;2050;hydrogen;24;;;20.0;0.0
BG;2050;hydrogen;24;;;20.0;0.0
CH;2050;hydrogen;24;;;20.0;0.0
CY;2050;hydrogen;24;;;20.0;0.0
CZ;2050;hydrogen;24;;;20.0;0.0
DE;2050;hydrogen;24;;;20.0;0.0
DK;2050;hydrogen;24;;;20.0;0.0
EE;2050;hydrogen;24;;;20.0;0.0
ES;2050;hydrogen;24;;;20.0;0.0
FI;2050;hydrogen;24;;;20.0;0.0
FR;2050;hydrogen;24;;;20.0;0.0
GR;2050;hydrogen;24;;;20.0;0.0
HR;2050;hydrogen;24;;;20.0;0.0
HU;2050;hydrogen;24;;;20.0;0.0
IE;2050;hydrogen;24;;;20.0;0.0
IT;2050;hydrogen;24;;;20.0;0.0
LT;2050;hydrogen;24;;;20.0;0.0
LU;2050;hydrogen;24;;;20.0;0.0
LV;2050;hydrogen;24;;;20.0;0.0
MD;2050;hydrogen;24;;;20.0;0.0
ME;2050;hydrogen;24;;;20.0;0.0
MK;2050;hydrogen;24;;;20.0;0.0
MT;2050;hydrogen;24;;;20.0;0.0
NL;2050;hydrogen;24;;;20.0;0.0
NO;2050;hydrogen;24;;;20.0;0.0
PL;2050;hydrogen;24;;;20.0;0.0
PT;2050;hydrogen;24;;;20.0;0.0
RO;2050;hydrogen;24;;;20.0;0.0
RS;2050;hydrogen;24;;;20.0;0.0
SE;2050;hydrogen;24;;;20.0;0.0
SI;2050;hydrogen;24;;;20.0;0.0
SK;2050;hydrogen;24;;;20.0;0.0
TR;2050;hydrogen;24;;;20.0;0.0
UA;2050;hydrogen;24;;;20.0;0.0
UK;2050;hydrogen;24;;;20.0;0.0
